Source Directory,Category,Image File,True Class,Predicted Class,Confidence (%),Result
Test Leaves - Mun Suen/,Potato - Healthy,PotatoHealthy6.jpg,Potato___healthy,Potato___healthy,42.02,CORRECT
Test Leaves - Mun Suen/,Potato - Healthy,PotatoHealthy5.jpg,Potato___healthy,Potato___healthy,73.08,CORRECT
Test Leaves - Mun Suen/,Potato - Healthy,PotatoHealthy4.jpg,Potato___healthy,Potato___healthy,86.77,CORRECT
Test Leaves - Mun Suen/,Potato - Late Blight,PotatoLateBlight4.jpg,Potato___Late_blight,Potato___Late_blight,91.52,CORRECT
Test Leaves - Mun Suen/,Potato - Late Blight,PotatoLateBlight1.jpg,Potato___Late_blight,Potato___Late_blight,93.36,CORRECT
Test Leaves - Mun Suen/,Potato - Late Blight,PotatoLateBlight2.jpg,Potato___Late_blight,Potato___Late_blight,90.02,CORRECT
Test Leaves - Mun Suen/,Potato - Late Blight,PotatoLateBlight3.jpg,Potato___Late_blight,Potato___Late_blight,77.30,CORRECT
Test Leaves - Mun Suen/,Rasberry - Healthy,RaspberryHealthy2.jpg,Raspberry___healthy,Raspberry___healthy,55.48,CORRECT
Test Leaves - Mun Suen/,Rasberry - Healthy,RaspberryHealthy1.jpg,Raspberry___healthy,Raspberry___healthy,99.59,CORRECT
Test Leaves - Mun Suen/,Soybean - Healthy,SoybeanHealthy1.jpg,Soybean___healthy,Soybean___healthy,13.12,CORRECT
Test Leaves - Mun Suen/,Soybean - Healthy,SoybeanHealthy2.jpg,Soybean___healthy,Tomato___healthy,7.89,INCORRECT
Test Leaves - Mun Suen/,Squash - Powdery,SquashMildew3.jpg,Squash___Powdery_mildew,Squash___Powdery_mildew,99.99,CORRECT
Test Leaves - Mun Suen/,Squash - Powdery,SquashMildew2.jpg,Squash___Powdery_mildew,Squash___Powdery_mildew,94.25,CORRECT
Test Leaves - Mun Suen/,Squash - Powdery,SquashMildew1.jpg,Squash___Powdery_mildew,Squash___Powdery_mildew,68.14,CORRECT
Test Leaves - Mun Suen/,Squash - Powdery,SquashMildew5.jpg,Squash___Powdery_mildew,Squash___Powdery_mildew,28.32,CORRECT
Test Leaves - Mun Suen/,Squash - Powdery,SquashMildew4.jpg,Squash___Powdery_mildew,Squash___Powdery_mildew,92.48,CORRECT
Test Leaves - Mun Suen/,Strawberry - Healthy,StrawberryHealthy.jpg,Strawberry___healthy,Strawberry___healthy,98.36,CORRECT
Test Leaves - Mun Suen/,Strawberry - Leaf Scorch,StrawberryLeafScorch2.jpg,Strawberry___Leaf_scorch,Strawberry___Leaf_scorch,96.67,CORRECT
Test Leaves - Mun Suen/,Strawberry - Leaf Scorch,StrawberryLeafScorch1.jpg,Strawberry___Leaf_scorch,Tomato___Early_blight,90.39,INCORRECT
Test Leaves - Mun Suen/,Tomato - Bacterial Spot,TomatoBacterialSpot1.jpg,Tomato___Bacterial_spot,Tomato___Bacterial_spot,28.33,CORRECT
Test Leaves - Mun Suen/,Tomato - Bacterial Spot,TomatoBacterialSpot3.jpg,Tomato___Bacterial_spot,Peach___Bacterial_spot,76.61,INCORRECT
Test Leaves - Mun Suen/,Tomato - Bacterial Spot,TomatoBacterialSpot2.jpg,Tomato___Bacterial_spot,Tomato___Bacterial_spot,44.49,CORRECT
Test Leaves - Mun Suen/,Tomato - Early Blight,TomatoEarlyBlight2.jpg,Tomato___Early_blight,Tomato___Early_blight,98.44,CORRECT
Test Leaves - Mun Suen/,Tomato - Early Blight,TomatoEarlyBlight3.jpg,Tomato___Early_blight,Tomato___Late_blight,33.41,INCORRECT
Test Leaves - Mun Suen/,Tomato - Early Blight,TomatoEarlyBlight1.jpg,Tomato___Early_blight,Tomato___Early_blight,98.93,CORRECT
Test Leaves - Mun Suen/,Tomato - Healthy,Tomato Healthy 2.jpg,Tomato___healthy,Tomato___Tomato_Yellow_Leaf_Curl_Virus,31.57,INCORRECT
Test Leaves - Mun Suen/,Tomato - Healthy,Tomato Healthy 3.jpg,Tomato___healthy,Tomato___Septoria_leaf_spot,43.22,INCORRECT
Test Leaves - Mun Suen/,Tomato - Healthy,Tomato Healthy 1.jpg,Tomato___healthy,Tomato___Late_blight,26.87,INCORRECT
Test Leaves - Mun Suen/,Tomato - Healthy,TomatoHealthy1.jpg,Tomato___healthy,Apple___healthy,27.52,INCORRECT
Test Leaves - Mun Suen/,Tomato - Late Blight,TomatoLateBlight2.jpg,Tomato___Late_blight,Tomato___Late_blight,89.77,CORRECT
Test Leaves - Mun Suen/,Tomato - Late Blight,TomatoLateBlight1.jpg,Tomato___Late_blight,Tomato___Late_blight,84.65,CORRECT
Test Leaves - Mun Suen/,Tomato - Leaf Mold,TomatoLeafMold2.jpg,Tomato___Leaf_Mold,Tomato___Leaf_Mold,99.99,CORRECT
Test Leaves - Mun Suen/,Tomato - Leaf Mold,TomatoLeafMold.jpg,Tomato___Leaf_Mold,Tomato___Late_blight,99.95,INCORRECT
Test Leaves - Mun Suen/,Tomato - Mosaic Virus,TomatoMosaicVirus1.jpg,Tomato___Tomato_mosaic_virus,Tomato___Leaf_Mold,50.93,INCORRECT
Test Leaves - Mun Suen/,Tomato - Septoria Leaf Spot,TomatoSeptoriaLeafSpot1.jpg,Tomato___Septoria_leaf_spot,Tomato___Septoria_leaf_spot,99.78,CORRECT
Test Leaves - Mun Suen/,Tomato - Septoria Leaf Spot,TomatoSeptoriaLeafSpot2.jpg,Tomato___Septoria_leaf_spot,Tomato___Septoria_leaf_spot,95.07,CORRECT
Test Leaves - Mun Suen/,Tomato - Septoria Leaf Spot,TomatoSeptoriaLeafSpot3.jpg,Tomato___Septoria_leaf_spot,Tomato___Septoria_leaf_spot,99.84,CORRECT
Test Leaves - Mun Suen/,Tomato - Yellow Leaf Curl Virus,TomatoYelloLeafCurlVirus2.jpg,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus,96.43,CORRECT
Test Leaves - Mun Suen/,Tomato - Yellow Leaf Curl Virus,TomatoYelloLeafCurlVirus1.jpg,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus,53.84,CORRECT
Test Leaves - Mun Suen/,Tomato - Yellow Leaf Curl Virus,TomatoYellowCurlVirus3.jpg,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Apple___Black_rot,10.04,INCORRECT
Test Leaves - Mun Suen/,Tomato - Yellow Leaf Curl Virus,TomatoYellowCurlVirus4.jpg,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus,89.35,CORRECT
Test Leaves - Zoey/,Apple - Black Rot,Apple Black Rot 1.jpg,Apple___Black_rot,Tomato___Septoria_leaf_spot,82.89,INCORRECT
Test Leaves - Zoey/,Apple - Black Rot,Apple Black Rot 3.jpg,Apple___Black_rot,Tomato___Late_blight,13.08,INCORRECT
Test Leaves - Zoey/,Apple - Black Rot,Apple Black Rot 2.jpg,Apple___Black_rot,Tomato___Septoria_leaf_spot,20.09,INCORRECT
Test Leaves - Zoey/,Apple - Ceder Rust Leaf,Apple Ceder Rust Leaf 3.jpg,Apple___Cedar_apple_rust,Peach___Bacterial_spot,19.64,INCORRECT
Test Leaves - Zoey/,Apple - Ceder Rust Leaf,Apple Ceder Rust Leaf 2.jpg,Apple___Cedar_apple_rust,Apple___Cedar_apple_rust,74.65,CORRECT
Test Leaves - Zoey/,Apple - Ceder Rust Leaf,Apple Ceder Rust Leaf 1.jpg,Apple___Cedar_apple_rust,Peach___Bacterial_spot,86.72,INCORRECT
Test Leaves - Zoey/,Apple - Healthy,Apple Healthy 1.jpg,Apple___healthy,Potato___Early_blight,22.07,INCORRECT
Test Leaves - Zoey/,Apple - Healthy,Apple Healthy 2.png,Apple___healthy,Blueberry___healthy,99.99,INCORRECT
Test Leaves - Zoey/,Apple - Healthy,Apple Healthy 3.jpg,Apple___healthy,Apple___healthy,99.85,CORRECT
Test Leaves - Zoey/,Apple - Scab,Apple Scab 3.jpg,Apple___Apple_scab,Apple___Apple_scab,54.07,CORRECT
Test Leaves - Zoey/,Apple - Scab,Apple Scab 2.jpg,Apple___Apple_scab,Apple___Apple_scab,47.31,CORRECT
Test Leaves - Zoey/,Blueberry - Healthy,Blueberry Healthy 3.jpg,Blueberry___healthy,Blueberry___healthy,100.00,CORRECT
Test Leaves - Zoey/,Blueberry - Healthy,Blueberry Healthy 2.jpg,Blueberry___healthy,Blueberry___healthy,100.00,CORRECT
Test Leaves - Zoey/,Blueberry - Healthy,Blueberry Healthy 1.jpg,Blueberry___healthy,"Pepper,_bell___healthy",8.31,INCORRECT
Test Leaves - Zoey/,Blueberry - Healthy,Blueberry Healthy 5.jpg,Blueberry___healthy,Potato___Late_blight,86.57,INCORRECT
Test Leaves - Zoey/,Blueberry - Healthy,Blueberry Healthy 4.jpg,Blueberry___healthy,Apple___Black_rot,39.05,INCORRECT
Test Leaves - Zoey/,Cherry - Healthy,Cherry Healthy 3.jpg,Cherry_(including_sour)___healthy,Blueberry___healthy,99.29,INCORRECT
Test Leaves - Zoey/,Cherry - Healthy,Cherry Healthy 1.jpg,Cherry_(including_sour)___healthy,Apple___healthy,87.29,INCORRECT
Test Leaves - Zoey/,Cherry - Healthy,Cherry Healthy 2.webp,Cherry_(including_sour)___healthy,Apple___healthy,35.53,INCORRECT
Test Leaves - Zoey/,Cherry - Powdery,Cherry Powdery 2.jpg,Cherry_(including_sour)___Powdery_mildew,Corn_(maize)___Common_rust_,32.48,INCORRECT
Test Leaves - Zoey/,Cherry - Powdery,Cherry Powdery 3.jpg,Cherry_(including_sour)___Powdery_mildew,Tomato___Target_Spot,9.29,INCORRECT
Test Leaves - Zoey/,Cherry - Powdery,Cherry Powdery 1.jpg,Cherry_(including_sour)___Powdery_mildew,Cherry_(including_sour)___Powdery_mildew,73.94,CORRECT
Test Leaves - Zoey/,Corn - Common Rust,Corn Common Rust 3.jpg,Corn_(maize)___Common_rust_,Corn_(maize)___Northern_Leaf_Blight,55.92,INCORRECT
Test Leaves - Zoey/,Corn - Common Rust,Corn Common Rust 2.jpg,Corn_(maize)___Common_rust_,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,84.91,INCORRECT
Test Leaves - Zoey/,Corn - Common Rust,Corn Common Rust 1.jpg,Corn_(maize)___Common_rust_,Corn_(maize)___Common_rust_,78.59,CORRECT
Test Leaves - Zoey/,Corn - Gray Leaf Spot,Corn Gray Leaf Spot 1.jpg,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,51.24,CORRECT
Test Leaves - Zoey/,Corn - Gray Leaf Spot,Corn Gray Leaf Spot 2.jpg,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,43.18,CORRECT
Test Leaves - Zoey/,Corn - Gray Leaf Spot,Corn Gray Leaf Spot 3.jpg,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Common_rust_,37.67,INCORRECT
Test Leaves - Zoey/,Corn - Healthy,Corn Healthy 3.jpg,Corn_(maize)___healthy,Soybean___healthy,47.27,INCORRECT
Test Leaves - Zoey/,Corn - Healthy,Corn Healthy 2.jpg,Corn_(maize)___healthy,Corn_(maize)___healthy,22.36,CORRECT
Test Leaves - Zoey/,Corn - Healthy,Corn Healthy 1.jpg,Corn_(maize)___healthy,Corn_(maize)___healthy,48.42,CORRECT
Test Leaves - Zoey/,Corn - Leaf Blight,Corn Leaf Blight 1.jpg,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,83.99,INCORRECT
Test Leaves - Zoey/,Corn - Leaf Blight,Corn Leaf Blight 3.jpg,Corn_(maize)___Northern_Leaf_Blight,Peach___healthy,76.81,INCORRECT
Test Leaves - Zoey/,Corn - Leaf Blight,Corn Leaf Blight 2.jpg,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,91.46,INCORRECT
Test Leaves - Zoey/,Grape - Black Measles,Grape Black Measles 1.jpg,Grape___Esca_(Black_Measles),Grape___Esca_(Black_Measles),99.95,CORRECT
Test Leaves - Zoey/,Grape - Black Measles,Grape Black Measles 3.jpg,Grape___Esca_(Black_Measles),Grape___Esca_(Black_Measles),99.76,CORRECT
Test Leaves - Zoey/,Grape - Black Measles,Grape Black Measles 2.jpg,Grape___Esca_(Black_Measles),Strawberry___Leaf_scorch,97.42,INCORRECT
Test Leaves - Zoey/,Grape - Black Rot,Grape Black Rot 1.jpg,Grape___Black_rot,Grape___Black_rot,20.75,CORRECT
Test Leaves - Zoey/,Grape - Black Rot,Grape Black Rot 3.jpg,Grape___Black_rot,Potato___Early_blight,19.23,INCORRECT
Test Leaves - Zoey/,Grape - Black Rot,Grape Black Rot 2.jpg,Grape___Black_rot,Grape___Black_rot,99.94,CORRECT
Test Leaves - Zoey/,Grape - Healthy,Grape Healthy 1.jpg,Grape___healthy,Grape___healthy,51.37,CORRECT
Test Leaves - Zoey/,Grape - Healthy,Grape Healthy 3.jpg,Grape___healthy,Apple___Apple_scab,75.09,INCORRECT
Test Leaves - Zoey/,Grape - Healthy,Grape Healthy 2.jpg,Grape___healthy,Grape___healthy,100.00,CORRECT
Test Leaves - Zoey/,Grape - Isariopsis Leaf Spot,Grape Isariopsis Leaf Spot 1.jpg,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape___Leaf_blight_(Isariopsis_Leaf_Spot),99.51,CORRECT
Test Leaves - Zoey/,Grape - Isariopsis Leaf Spot,Grape Isariopsis Leaf Spot 3.jpg,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Strawberry___Leaf_scorch,54.38,INCORRECT
Test Leaves - Zoey/,Grape - Isariopsis Leaf Spot,Grape Isariopsis Leaf Spot 2.jpg,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape___Black_rot,42.68,INCORRECT
Test Leaves - Zoey/,Orange - Citrus Greening,Orange Citrus Greening 1.jpg,Orange___Haunglongbing_(Citrus_greening),Tomato___Tomato_Yellow_Leaf_Curl_Virus,15.36,INCORRECT
Test Leaves - Zoey/,Orange - Citrus Greening,Orange Citrus Greening 2.jpg,Orange___Haunglongbing_(Citrus_greening),Potato___healthy,60.20,INCORRECT
Test Leaves - Zoey/,Orange - Citrus Greening,Orange Citrus Greening 3.jpg,Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening),26.76,CORRECT
Test Leaves - Zoey/,Peach - Bacterial Spot,Peach Bacterial Spot 2.jpg,Peach___Bacterial_spot,"Pepper,_bell___Bacterial_spot",27.53,INCORRECT
Test Leaves - Zoey/,Peach - Bacterial Spot,Peach Bacterial Spot 3.jpg,Peach___Bacterial_spot,"Pepper,_bell___Bacterial_spot",66.62,INCORRECT
Test Leaves - Zoey/,Peach - Bacterial Spot,Peach Bacterial Spot 1.jpg,Peach___Bacterial_spot,Peach___Bacterial_spot,52.41,CORRECT
Test Leaves - Zoey/,Peach - Healthy,Peach Healthy 1.jpg,Peach___healthy,Cherry_(including_sour)___healthy,32.14,INCORRECT
Test Leaves - Zoey/,Peach - Healthy,Peach Healthy 2.jpg,Peach___healthy,Apple___healthy,41.57,INCORRECT
Test Leaves - Zoey/,Peach - Healthy,Peach Healthy 3.jpg,Peach___healthy,Blueberry___healthy,99.98,INCORRECT
Test Leaves - Zoey/,Pepper - Bacterial Spot,Pepper Bacterial Spot 3.jpg,"Pepper,_bell___Bacterial_spot",Tomato___Bacterial_spot,15.37,INCORRECT
Test Leaves - Zoey/,Pepper - Bacterial Spot,Pepper Bacterial Spot 2.jpg,"Pepper,_bell___Bacterial_spot","Pepper,_bell___Bacterial_spot",98.23,CORRECT
Test Leaves - Zoey/,Pepper - Bacterial Spot,Pepper Bacterial Spot 1.jpg,"Pepper,_bell___Bacterial_spot",Tomato___Late_blight,89.79,INCORRECT
Test Leaves - Zoey/,Pepper - Healthy,Pepper Healthy 3.jpg,"Pepper,_bell___healthy","Pepper,_bell___healthy",65.50,CORRECT
Test Leaves - Zoey/,Pepper - Healthy,Pepper Healthy 2.jpg,"Pepper,_bell___healthy",Tomato___Early_blight,22.81,INCORRECT
Test Leaves - Zoey/,Pepper - Healthy,Pepper Healthy 1.webp,"Pepper,_bell___healthy","Pepper,_bell___healthy",93.52,CORRECT
Test Leaves - Zoey/,Potato - Early Blight,Potato Early Blight 3.jpg,Potato___Early_blight,Potato___Early_blight,93.78,CORRECT
Test Leaves - Zoey/,Potato - Early Blight,Potato Early Blight 2.jpg,Potato___Early_blight,Tomato___Septoria_leaf_spot,34.53,INCORRECT
Test Leaves - Zoey/,Potato - Early Blight,Potato Early Blight 1.jpg,Potato___Early_blight,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),54.41,INCORRECT
Test Leaves - Zoey/,Potato - Healthy,Potato Healthy 1.jpg,Potato___healthy,Soybean___healthy,29.19,INCORRECT
Test Leaves - Zoey/,Potato - Healthy,Potato Healthy 2.jpg,Potato___healthy,Potato___healthy,95.32,CORRECT
Test Leaves - Zoey/,Potato - Healthy,Potato Healthy 3.jpg,Potato___healthy,Soybean___healthy,68.39,INCORRECT
Test Leaves - Zoey/,Potato - Late Blight,Potato Late Blight 1.jpg,Potato___Late_blight,Apple___healthy,16.26,INCORRECT
Test Leaves - Zoey/,Potato - Late Blight,Potato Late Blight 2.jpg,Potato___Late_blight,Potato___Late_blight,100.00,CORRECT
Test Leaves - Zoey/,Potato - Late Blight,Potato Late Blight 3.jpg,Potato___Late_blight,Apple___Apple_scab,78.28,INCORRECT
